# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.0271,1.9081,0.9120,0.9120
-1.9370,1.8180,0.9120,0.9120
-1.8469,1.7279,0.9120,0.9120
-1.7568,1.6378,0.9120,0.9120
-1.6667,1.5477,0.9120,0.9120
-1.5767,1.4576,0.9120,0.9120
-1.4866,1.3675,0.9120,0.9120
-1.3965,1.2774,0.9120,0.9120
-1.3064,1.1873,0.9120,0.9120
-1.2163,1.0972,0.9120,0.9120
-1.1262,1.0072,0.9120,0.9120
-1.0361,0.9171,0.9120,0.9120
-0.9460,0.8270,0.9120,0.9120
-0.8559,0.7369,0.9120,0.9120
-0.7658,0.6468,0.9120,0.9120
-0.6758,0.5567,0.9120,0.9120
-0.5857,0.4666,0.9120,0.9120
-0.4956,0.3765,0.9120,0.9120
-0.4055,0.2864,0.9120,0.9120
-0.3154,0.1963,0.9120,0.9120
-0.2253,0.1063,0.9120,0.9120
-0.1352,0.0162,0.9120,0.9120
-0.0451,0.0162,0.8746,0.8746
0.0450,-0.0739,0.9087,0.9087
0.1351,-0.1640,0.9120,0.9120
0.2251,-0.2541,0.9120,0.9120
0.3152,-0.3442,0.9120,0.9120
0.4053,-0.4343,0.9120,0.9120
0.4954,-0.5244,0.9120,0.9120
0.5855,-0.6145,0.9120,0.9120
0.6756,-0.7046,0.9120,0.9120
0.7657,-0.7946,0.9120,0.9120
0.8558,-0.8847,0.9120,0.9120
0.9459,-0.9748,0.9120,0.9120
1.0360,-1.0649,0.9120,0.9120
1.1260,-1.1550,0.9120,0.9120
1.2161,-1.2451,0.9120,0.9120
1.3062,-1.3352,0.9120,0.9120
1.3963,-1.4253,0.9120,0.9120
1.4864,-1.5154,0.9120,0.9120
1.5765,-1.6055,0.9120,0.9120
1.6666,-1.6955,0.9120,0.9120
1.7567,-1.7856,0.9120,0.9120
1.8468,-1.8757,0.9120,0.9120
1.9369,-1.9658,0.9120,0.9120
2.0269,-2.0559,0.9120,0.9120
2.1170,-2.1460,0.9120,0.9120
2.2071,-2.2361,0.9120,0.9120
2.2972,-2.3262,0.9120,0.9120
2.3873,-2.3262,0.8746,0.8746
2.4774,-2.4163,0.9087,0.9087
2.5675,-2.5064,0.9120,0.9120
2.6576,-2.5964,0.9120,0.9120
2.7477,-2.6865,0.9120,0.9120
2.8378,-2.7766,0.9120,0.9120
2.9278,-2.8667,0.9120,0.9120
3.0179,-2.9568,0.9120,0.9120
3.1080,-3.0469,0.9120,0.9120
3.1981,-3.1370,0.9120,0.9120
3.2882,-3.2271,0.9120,0.9120
3.3783,-3.3172,0.9120,0.9120
3.4684,-3.4073,0.9120,0.9120
3.5585,-3.4973,0.9120,0.9120
3.6486,-3.5874,0.9120,0.9120
3.7387,-3.6775,0.9120,0.9120
3.8287,-3.7676,0.9120,0.9120
3.9188,-3.8577,0.9120,0.9120
4.0089,-3.9478,0.9120,0.9120
4.0990,-4.0379,0.9120,0.9120
4.1891,-4.1280,0.9120,0.9120
4.2792,-4.2181,0.9120,0.9120
4.3693,-4.3082,0.9120,0.9120
4.4594,-4.3982,0.9120,0.9120
4.5495,-4.4883,0.9120,0.9120
4.6396,-4.5784,0.9120,0.9120
4.7296,-4.5784,0.8746,0.8746
4.8197,-4.6685,0.9087,0.9087
4.9098,-4.7586,0.9120,0.9120
4.9999,-4.8487,0.9120,0.9120
5.0900,-4.9388,0.9120,0.9120
5.1801,-5.0289,0.9120,0.9120
5.2702,-5.1190,0.9120,0.9120
5.3603,-5.2091,0.9120,0.9120
5.4504,-5.2991,0.9120,0.9120
5.5405,-5.3892,0.9120,0.9120
5.6305,-5.4793,0.9120,0.9120
5.7206,-5.5694,0.9120,0.9120
5.8107,-5.6595,0.9120,0.9120
5.9008,-5.7496,0.9120,0.9120
5.9909,-5.8397,0.9120,0.9120
6.0810,-5.9298,0.9120,0.9120
6.1711,-6.0199,0.9120,0.9120
6.2612,-6.1100,0.9120,0.9120
6.3513,-6.2000,0.9120,0.9120
6.4414,-6.2901,0.9120,0.9120
6.5314,-6.3802,0.9120,0.9120
6.6215,-6.4703,0.9120,0.9120
6.7116,-6.5604,0.9120,0.9120
6.8017,-6.6505,0.9120,0.9120
6.8918,-6.7406,0.9120,0.9120
6.9819,-6.8307,0.9120,0.9120
7.0720,-6.8307,0.8746,0.8746
7.1621,-6.9208,0.9087,0.9087
7.2522,-7.0109,0.9120,0.9120
7.3423,-7.1009,0.9120,0.9120
7.4323,-7.1910,0.9120,0.9120
